"","V1","V2"
"791",11.8635821,46.5245608
"792",11.8639109,46.5247415
"793",11.8641806,46.5247824
"794",11.8644051,46.5247867
"795",11.8645804,46.524727
"796",11.8646475,46.524612
"797",11.8646438,46.52451
"798",11.8645113,46.5242543
"799",11.8644829,46.5241526
"800",11.8645529,46.524006
"801",11.8649154,46.5238934
"802",11.8655621,46.5237235
"803",11.8667451,46.5234125
"804",11.8673591,46.5231092
"805",11.8680017,46.5227783
"806",11.8685364,46.5224083
"807",11.8688486,46.5220856
"808",11.8690566,46.5218442
"809",11.8695602,46.5215303
"810",11.8702505,46.5213737
"811",11.8707628,46.521291
"812",11.8711687,46.5210916
"813",11.8717215,46.5210538
"814",11.8718422,46.5210522
"815",11.8720663,46.5209503
"816",11.8725522,46.5205592
"817",11.8727299,46.5203578
"818",11.8728129,46.5201445
"819",11.8127719,46.4787146
"820",11.8125552,46.4791367
"821",11.8122939,46.4796241
"822",11.8121235,46.4799724
"823",11.811938,46.4800987
"824",11.8115683,46.4802403
"825",11.8110705,46.4802662
"826",11.8102431,46.4801927
"827",11.8096809,46.4801537
"828",11.8082646,46.4800509
"829",11.807775,46.4801127
"830",11.807295,46.4801682
"831",11.8059306,46.4805933
"832",11.8047542,46.4811915
"833",11.8033941,46.4821989
"834",11.7553725,46.5277937
"835",11.7555905,46.5275917
"836",11.7578238,46.5270834
"837",11.7590831,46.5269008
"838",11.7593716,46.5273054
"839",11.7595042,46.5276302
"840",11.7596202,46.5280184
"841",11.7597982,46.5284262
"842",11.7601444,46.5291232
"843",11.760615,46.5297676
"844",11.7614404,46.5304067
"845",11.7621099,46.5306701
"846",11.7627882,46.5308526
"847",11.7636586,46.531381
"848",11.7643967,46.53199
"849",11.7648546,46.5322808
"850",11.7653698,46.5325558
"851",11.7657692,46.5328164
"852",11.762745,46.5258354
"853",11.7625991,46.5259335
"854",11.7625095,46.5259174
"855",11.762406,46.525899
"856",11.7620949,46.5258166
"857",11.7617132,46.5256994
"858",11.7613456,46.5256686
"859",11.7611447,46.5257103
"860",11.7592776,46.5264397
"861",11.7592236,46.5265678
"862",11.7590831,46.5269008
"863",11.7524619,46.5161353
"864",11.7525244,46.5162933
"865",11.7522823,46.5170582
"866",11.7525813,46.5174171
"867",11.7528358,46.5175211
"868",11.7531499,46.5175526
"869",11.7535462,46.5179548
"870",11.7539797,46.5182955
"871",11.7544517,46.5188202
"872",11.7547989,46.5191118
"873",11.7553435,46.519398
"874",11.7561259,46.5198894
"875",11.7566735,46.5201884
"876",11.7507395,46.5318109
"877",11.7508703,46.5315309
"878",11.75205,46.5305986
"879",11.7526508,46.5299196
"880",11.7531443,46.5294029
"881",11.7539168,46.5287681
"882",11.7545176,46.5282809
"883",11.7549038,46.5280004
"884",11.7553725,46.5277937
"885",11.7558003,46.5278573
"886",11.7558571,46.5278447
"887",11.8701444,46.4732442
"888",11.870401,46.4730181
"889",11.8705276,46.4729602
"890",11.8705874,46.4728798
"891",11.8705515,46.4728345
"892",11.8703578,46.4727889
"893",11.8697439,46.4727058
"894",11.8692086,46.4726393
"895",11.8682387,46.4726806
"896",11.8674234,46.4727945
"897",11.864318,46.5126474
"898",11.8646808,46.51265
"899",11.865553,46.5125602
"900",11.8665987,46.5124165
"901",11.867327,46.5122673
"902",11.8674659,46.512236
"903",11.8677867,46.5124751
"904",11.8684513,46.5131124
"905",11.8688742,46.5134419
"906",11.8694434,46.5138415
"907",11.8698219,46.514492
"908",11.8702755,46.5152385
"909",11.8708281,46.515825
"910",11.8716565,46.5165297
"911",11.8717952,46.5170814
"912",11.8717132,46.5177293
"913",11.8717545,46.5181775
"914",11.8718966,46.5186084
"915",11.8720892,46.5190604
"916",11.8725409,46.519774
"917",11.8638937,46.5127171
"918",11.863604,46.5124303
"919",11.8630859,46.5124101
"920",11.862277,46.5124047
"921",11.861659,46.5123729
"922",11.8611821,46.5123418
"923",11.8607335,46.5122129
"924",11.8602942,46.5120247
"925",11.8600689,46.5118107
"926",11.8596385,46.5113441
"927",11.8592871,46.5108965
"928",11.8591557,46.510696
"929",11.8576777,46.5085797
"930",11.8576581,46.5081712
"931",11.8578325,46.5077916
"932",11.8581327,46.5074967
"933",11.8591179,46.5069322
"934",11.8602169,46.5062695
"935",11.8608816,46.5058035
"936",11.8127129,46.4782041
"937",11.8128874,46.4782885
"938",11.8129175,46.478525
"939",11.8127719,46.4787146
"940",11.7993772,46.554115
